Category,Message
ham,"I'll see if I can swing by in a bit, got some things to take care of here firsg"
spam,Loan $40130 approved. 9.22% APR. App #562938. Processing $525.
ham,Assignment due Monday. Course #169251. Submit via portal.
ham,Order #370780 shipped. Arrives Friday. Total: $616. Track online.
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
ham,What he said is not the matter. My mind saying some other matter is there.
ham,Order #710948 shipped. Arrives Tuesday. Total: $652. Track online.
ham,Please review report by Friday. Task #124811. Thanks!
ham,Ya very nice. . .be ready on thursday
ham,Order #756294 shipped. Arrives Monday. Total: $655. Track online.
spam,Invoice #790285: Payment $56260 overdue 4 days. Pay immediately or legal action.
ham,Order #251663 shipped. Arrives Tuesday. Total: $215. Track online.
spam,Student loan #694679 forgiveness $7321 approved. Claim with $115 processing fee.
ham,We can make a baby in yo tho
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
ham,Assignment due Friday. Course #819188. Submit via portal.
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
spam,Invoice #750181: Payment $62863 overdue 7 days. Pay immediately or legal action.
ham,Order #448000 shipped. Arrives Monday. Total: $584. Track online.
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 373410
ham,Please review report by Friday. Task #931610. Thanks!
spam,"Bitcoin investment #874888: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 132233
ham,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...
ham,Order #500048 shipped. Arrives Friday. Total: $328. Track online.
ham,Order #575901 shipped. Arrives Monday. Total: $405. Track online.
ham,Please review report by Tuesday. Task #980348. Thanks!
spam,Invoice #673096: Payment $55550 overdue 5 days. Pay immediately or legal action.
ham,Yup... From what i remb... I think should be can book...
ham,Okay... We wait ah
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 283990
spam,Foreclosure #775513: Pay $1949 by Friday or property auctioned. Call now.
ham,Assignment due Friday. Course #212257. Submit via portal.
ham,Hai priya are you right. What doctor said pa. Where are you.
ham,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready..."
ham,Please review report by Tuesday. Task #969962. Thanks!
ham,Please review report by Monday. Task #431653. Thanks!
ham,Assignment due Friday. Course #726702. Submit via portal.
ham,"Dear, take care. I am just reaching home.love u a lot."
ham,Dude just saw a parked car with its sunroof popped up. Sux
ham,Thinking of u ;) x
ham,Order #988326 shipped. Arrives Friday. Total: $203. Track online.
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
ham,No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.
spam,"Bitcoin investment #557656: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 346618
ham,Hey you told your name to gautham ah?
spam,Foreclosure #325552: Pay $10752 by Friday or property auctioned. Call now.
ham,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor..."
ham,Assignment due Friday. Course #478600. Submit via portal.
ham,Please review report by Friday. Task #985814. Thanks!
spam,WINNER #377735: Won $62876 in lottery. Claim immediately!
ham,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil
ham,Please review report by Monday. Task #830305. Thanks!
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 150637
ham,The hair cream has not been shipped.
ham,Please review report by Monday. Task #554205. Thanks!
spam,WINNER #356926: Won $4224 in lottery. Claim immediately!
ham,Hey what happen de. Are you alright.
spam,Student loan #739974 forgiveness $47996 approved. Claim with $273 processing fee.
ham,"Just wondering, the others just took off"
ham,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke
spam,Foreclosure #228932: Pay $95089 by Friday or property auctioned. Call now.
spam,"Bitcoin investment #891958: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Assignment due Monday. Course #235301. Submit via portal.
ham,Order #523530 shipped. Arrives Friday. Total: $358. Track online.
ham,U reach orchard already? U wan 2 go buy tickets first?
ham,Assignment due Tuesday. Course #322377. Submit via portal.
ham,When you are big..| God will bring success.
ham,"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt..."
ham,Please review report by Monday. Task #810911. Thanks!
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
spam,Invoice #406421: Payment $32971 overdue 2 days. Pay immediately or legal action.
spam,Foreclosure #892909: Pay $4127 by Friday or property auctioned. Call now.
ham,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!"
spam,WINNER #603536: Won $74364 in lottery. Claim immediately!
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!
ham,Assignment due Monday. Course #999776. Submit via portal.
ham,"Aight, let me know when you're gonna be around usf"
ham,Assignment due Monday. Course #641054. Submit via portal.
spam,Invoice #145769: Payment $87741 overdue 4 days. Pay immediately or legal action.
ham,Assignment due Tuesday. Course #523463. Submit via portal.
spam,Student loan #545426 forgiveness $39052 approved. Claim with $137 processing fee.
ham,Assignment due Friday. Course #485965. Submit via portal.
ham,No but the bluray player can
ham,Assignment due Tuesday. Course #342500. Submit via portal.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 263391
ham,Ok. Me watching tv too.
ham,Assignment due Friday. Course #469339. Submit via portal.
ham,That is wondar full flim.
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 948084
spam,WINNER #851253: Won $49603 in lottery. Claim immediately!
ham,"Dad wanted to talk about the apartment so I got a late start, omw now"
spam,WINNER #441601: Won $2702 in lottery. Claim immediately!
spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
ham,Assignment due Tuesday. Course #469250. Submit via portal.
ham,Order #348622 shipped. Arrives Tuesday. Total: $552. Track online.
ham,Please review report by Friday. Task #625093. Thanks!
spam,Invoice #757292: Payment $45039 overdue 6 days. Pay immediately or legal action.
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 443361
spam,Student loan #675601 forgiveness $68412 approved. Claim with $135 processing fee.
spam,WINNER #137853: Won $39227 in lottery. Claim immediately!
ham,Order #351478 shipped. Arrives Friday. Total: $836. Track online.
ham,I sent your maga that money yesterday oh.
ham,"Its ok chikku, and its my 1 of favourite song..:-)"
ham,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!"
ham,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin..."
ham,Wish u many many returns of the day.. Happy birthday vikky..
spam,Student loan #206093 forgiveness $86260 approved. Claim with $496 processing fee.
ham,Same. Wana plan a trip sometme then
ham,ARE YOU IN TOWN? THIS IS V. IMPORTANT
ham,Assignment due Monday. Course #398175. Submit via portal.
ham,Yes..gauti and sehwag out of odi series.
spam,Foreclosure #366981: Pay $44701 by Friday or property auctioned. Call now.
ham,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol
ham,But if she.s drinkin i'm ok.
ham,Please review report by Friday. Task #332653. Thanks!
spam,Invoice #840772: Payment $77085 overdue 6 days. Pay immediately or legal action.
ham,Please review report by Monday. Task #837768. Thanks!
ham,Please review report by Monday. Task #979276. Thanks!
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
ham,Shall call now dear having food
ham,Can ü send me a copy of da report?
spam,"Bitcoin investment #277137: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Unless it's a situation where YOU GO GURL would be more appropriate
ham,Please review report by Tuesday. Task #365983. Thanks!
spam,Student loan #364508 forgiveness $4218 approved. Claim with $178 processing fee.
ham,I know complain num only..bettr directly go to bsnl offc nd apply for it..
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 723984
ham,Its sunny in california. The weather's just cool
ham,Order #689717 shipped. Arrives Monday. Total: $47. Track online.
ham,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.
ham,Jesus armand really is trying to tell everybody he can find
ham,Assignment due Friday. Course #715078. Submit via portal.
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 172579
ham,Assignment due Friday. Course #647897. Submit via portal.
ham,Congrats kano..whr s the treat maga?
spam,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
ham,Please review report by Friday. Task #478519. Thanks!
spam,"Bitcoin investment #919093: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,How are you. Its been ages. How's abj
ham,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.
ham,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester"
spam,Loan $54124 approved. 9.87% APR. App #244759. Processing $495.
ham,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala."
ham,Order #347304 shipped. Arrives Tuesday. Total: $213. Track online.
ham,Okie but i scared u say i fat... Then u dun wan me already...
spam,Invoice #167139: Payment $5653 overdue 6 days. Pay immediately or legal action.
ham,Please review report by Tuesday. Task #552105. Thanks!
ham,Please review report by Monday. Task #155962. Thanks!
ham,I'm working technical support :)voice process.networking field.
ham,Assignment due Friday. Course #127447. Submit via portal.
ham,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
spam,Loan $73545 approved. 6.72% APR. App #240247. Processing $618.
ham,"My friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen  for ages, yeah we should get together sometime!"
spam,Loan $66473 approved. 3.38% APR. App #483386. Processing $276.
ham,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx
ham,Assignment due Monday. Course #178365. Submit via portal.
ham,Please review report by Monday. Task #790007. Thanks!
spam,Loan $87447 approved. 1.55% APR. App #194146. Processing $420.
ham,They will pick up and drop in car.so no problem..
ham,Please review report by Tuesday. Task #622747. Thanks!
ham,&lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla
ham,Order #499469 shipped. Arrives Monday. Total: $521. Track online.
ham,Order #966596 shipped. Arrives Tuesday. Total: $963. Track online.
spam,Invoice #165393: Payment $19311 overdue 4 days. Pay immediately or legal action.
ham,Assignment due Friday. Course #956659. Submit via portal.
ham,Assignment due Tuesday. Course #627632. Submit via portal.
ham,Assignment due Monday. Course #148847. Submit via portal.
ham,Just got to  &lt;#&gt;
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
ham,Assignment due Friday. Course #811027. Submit via portal.
spam,"Bitcoin investment #429018: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,"Bitcoin investment #393009: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Jay says that you're a double-faggot
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 771999
ham,Check audrey's status right now
ham,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that!"
ham,We're on the opposite side from where we dropped you off
ham,K I'll take care of it
spam,Invoice #709847: Payment $90470 overdue 1 days. Pay immediately or legal action.
ham,I knew it... U slept v late yest? Wake up so late...
ham,Please review report by Monday. Task #418629. Thanks!
ham,You've always been the brainy one.
spam,WINNER #801571: Won $6102 in lottery. Claim immediately!
ham,Order #920320 shipped. Arrives Tuesday. Total: $971. Track online.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 137390
ham,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ..."
ham,";-( oh well, c u later"
spam,Student loan #598085 forgiveness $97112 approved. Claim with $258 processing fee.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 232288
ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
spam,Invoice #905813: Payment $71498 overdue 2 days. Pay immediately or legal action.
spam,Loan $65181 approved. 3.03% APR. App #503400. Processing $695.
ham,Please review report by Tuesday. Task #200047. Thanks!
ham,Order #440306 shipped. Arrives Monday. Total: $409. Track online.
ham,Yes. I come to nyc for audiitions and am trying to relocate.
ham,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out"
spam,"Bitcoin investment #462282: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,"Bitcoin investment #307210: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2
spam,Student loan #740254 forgiveness $17664 approved. Claim with $451 processing fee.
spam,Invoice #517220: Payment $67594 overdue 7 days. Pay immediately or legal action.
ham,Please review report by Tuesday. Task #289839. Thanks!
spam,"Bitcoin investment #844042: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Order #891643 shipped. Arrives Tuesday. Total: $72. Track online.
spam,Loan $70560 approved. 2.31% APR. App #478605. Processing $362.
spam,"Bitcoin investment #266640: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,"Awesome, I'll see you in a bit"
ham,"I think I‘m waiting for the same bus! Inform me when you get there, if you ever get there."
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""
ham,"Gumby's has a special where a  &lt;#&gt; "" cheese pizza is $2 so I know what we're doin tonight"
ham,Thats cool. How was your day?
ham,"Ya ok, then had dinner?"
ham,My friends use to call the same.
ham,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-)
ham,645
ham,Assignment due Friday. Course #130187. Submit via portal.
spam,Loan $95587 approved. 3.04% APR. App #709262. Processing $616.
spam,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04
spam,Loan $36138 approved. 7.92% APR. App #177855. Processing $308.
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,Please review report by Tuesday. Task #549677. Thanks!
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 465597
spam,Invoice #520004: Payment $55364 overdue 7 days. Pay immediately or legal action.
ham,Then u drive lor.
spam,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?"
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 511325
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 783394
ham,Order #753896 shipped. Arrives Friday. Total: $716. Track online.
ham,Order #425431 shipped. Arrives Monday. Total: $748. Track online.
ham,Assignment due Tuesday. Course #461726. Submit via portal.
spam,Student loan #432155 forgiveness $87377 approved. Claim with $435 processing fee.
ham,Yup having my lunch buffet now.. U eat already?
ham,Hey now am free you can call me.
ham,"Yeah, we got one lined up for us"
ham,Assignment due Monday. Course #130603. Submit via portal.
ham,Have you finished work yet? :)
ham,Please review report by Tuesday. Task #874238. Thanks!
ham,Please review report by Tuesday. Task #112976. Thanks!
ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)
spam,"Bitcoin investment #541063: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.
ham,Please review report by Friday. Task #644766. Thanks!
ham,Order #941631 shipped. Arrives Friday. Total: $17. Track online.
ham,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx"
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m..."
ham,Please review report by Friday. Task #693256. Thanks!
ham,did u get that message
ham,Are you available for soiree on June 3rd?
ham,He dint tell anything. He is angry on me that why you told to abi.
ham,Please review report by Monday. Task #194287. Thanks!
ham,Assignment due Tuesday. Course #166734. Submit via portal.
spam,Student loan #792439 forgiveness $68242 approved. Claim with $313 processing fee.
spam,"Bitcoin investment #566605: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Please review report by Friday. Task #284556. Thanks!
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
ham,Order #291836 shipped. Arrives Friday. Total: $260. Track online.
spam,Invoice #544151: Payment $56272 overdue 6 days. Pay immediately or legal action.
spam,Foreclosure #645323: Pay $26324 by Friday or property auctioned. Call now.
spam,Student loan #834809 forgiveness $55677 approved. Claim with $280 processing fee.
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 631203
ham,Assignment due Tuesday. Course #458203. Submit via portal.
ham,Hi.what you think about match?
ham,Why i come in between you people
ham,Order #128290 shipped. Arrives Monday. Total: $474. Track online.
ham,If you have belive me. Come to my home.
ham,Please review report by Friday. Task #826505. Thanks!
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 457628
ham,Please review report by Monday. Task #479680. Thanks!
ham,Please review report by Friday. Task #727450. Thanks!
spam,"Bitcoin investment #471454: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,Student loan #534032 forgiveness $73018 approved. Claim with $130 processing fee.
spam,Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528
spam,WINNER #620957: Won $59980 in lottery. Claim immediately!
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 399672
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 373285
ham,Sorry da. I gone mad so many pending works what to do.
ham,I'm at home n ready...
ham,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
spam,WINNER #910256: Won $28023 in lottery. Claim immediately!
ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat..."
ham,Assignment due Monday. Course #848496. Submit via portal.
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 707327
ham,Assignment due Tuesday. Course #923484. Submit via portal.
spam,WINNER #411262: Won $93675 in lottery. Claim immediately!
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 694232
spam,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com
spam,Student loan #681651 forgiveness $1952 approved. Claim with $428 processing fee.
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 917623
ham,No chikku nt yet.. Ya i'm free
ham,Please review report by Friday. Task #845242. Thanks!
ham,Assignment due Friday. Course #177988. Submit via portal.
ham,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..
spam,Loan $57583 approved. 2.92% APR. App #823702. Processing $386.
spam,Foreclosure #995904: Pay $79055 by Friday or property auctioned. Call now.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 479881
spam,Invoice #578559: Payment $31598 overdue 4 days. Pay immediately or legal action.
ham,Im good! I have been thinking about you...
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 886013
spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674
spam,Foreclosure #543791: Pay $88723 by Friday or property auctioned. Call now.
ham,Thanks for ve lovely wisheds. You rock
ham,Order #275689 shipped. Arrives Friday. Total: $112. Track online.
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 532689
ham,Please review report by Tuesday. Task #196995. Thanks!
ham,Please review report by Tuesday. Task #577679. Thanks!
spam,"Bitcoin investment #274801: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,Student loan #277199 forgiveness $82314 approved. Claim with $257 processing fee.
ham,Assignment due Friday. Course #504831. Submit via portal.
spam,Loan $7498 approved. 8.63% APR. App #260419. Processing $734.
ham,Got meh... When?
ham,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha."
ham,Assignment due Friday. Course #343187. Submit via portal.
ham,In meeting da. I will call you
spam,Student loan #717248 forgiveness $18767 approved. Claim with $349 processing fee.
spam,Invoice #874254: Payment $82298 overdue 3 days. Pay immediately or legal action.
ham,Please review report by Tuesday. Task #204483. Thanks!
ham,What makes you most happy?
ham,Ok... Ur typical reply...
ham,How do you guys go to see movies on your side.
ham,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come..."
spam,Foreclosure #206078: Pay $27829 by Friday or property auctioned. Call now.
ham,WHORE YOU ARE UNBELIEVABLE.
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,Assignment due Tuesday. Course #505955. Submit via portal.
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 639030
spam,Loan $58095 approved. 3.23% APR. App #760983. Processing $342.
spam,Student loan #385109 forgiveness $43129 approved. Claim with $482 processing fee.
ham,Assignment due Tuesday. Course #850417. Submit via portal.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
spam,Student loan #441500 forgiveness $63329 approved. Claim with $282 processing fee.
ham,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
ham,Please review report by Friday. Task #695066. Thanks!
ham,Please review report by Friday. Task #772416. Thanks!
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 663169
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 452881
spam,"Bitcoin investment #776948: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Please review report by Friday. Task #162337. Thanks!
spam,Foreclosure #412256: Pay $42113 by Friday or property auctioned. Call now.
spam,Student loan #375580 forgiveness $68629 approved. Claim with $362 processing fee.
spam,Invoice #732274: Payment $17375 overdue 6 days. Pay immediately or legal action.
ham,"K I'm ready,  &lt;#&gt; ?"
ham,Oi when you gonna ring
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl."
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 293600
ham,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards."
spam,"Bitcoin investment #822095: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,WINNER #536311: Won $50009 in lottery. Claim immediately!
ham,Yeah I don't see why not
ham,Assignment due Friday. Course #719806. Submit via portal.
ham,Assignment due Monday. Course #520552. Submit via portal.
ham,Order #836925 shipped. Arrives Tuesday. Total: $425. Track online.
spam,Student loan #512334 forgiveness $18065 approved. Claim with $397 processing fee.
spam,Foreclosure #752073: Pay $1373 by Friday or property auctioned. Call now.
ham,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?
ham,Simply sitting and watching match in office..
ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea"
spam,"URGENT! Last weekend's draw shows that you have won £1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm"
spam,Foreclosure #985951: Pay $2836 by Friday or property auctioned. Call now.
ham,Order #441045 shipped. Arrives Tuesday. Total: $538. Track online.
ham,K k pa Had your lunch aha.
ham,Please review report by Tuesday. Task #825557. Thanks!
spam,Invoice #402929: Payment $35962 overdue 1 days. Pay immediately or legal action.
ham,Dear i have reache room
ham,Yes. that will be fine. Love you. Be safe.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 820229
ham,"Just checked out, heading out to drop off my stuff now"
ham,He is a womdarfull actor
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
ham,Ok lor but not too early. Me still having project meeting now.
ham,THIS IS A LONG FUCKIN SHOWR
spam,"Bitcoin investment #178739: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Order #484472 shipped. Arrives Friday. Total: $139. Track online.
spam,Student loan #785000 forgiveness $26084 approved. Claim with $322 processing fee.
ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam
spam,WINNER #287727: Won $57877 in lottery. Claim immediately!
ham,Assignment due Tuesday. Course #967985. Submit via portal.
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 110713
ham,"Haven't seen my facebook, huh? Lol!"
ham,Already one guy loving you:-.
ham,Really good:)dhanush rocks once again:)
ham,Order #465382 shipped. Arrives Friday. Total: $343. Track online.
spam,WINNER #283255: Won $60199 in lottery. Claim immediately!
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 390167
ham,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(
ham,Assignment due Monday. Course #274581. Submit via portal.
ham,K..k.:)congratulation ..
spam,WINNER #335663: Won $40706 in lottery. Claim immediately!
spam,WINNER #682586: Won $25377 in lottery. Claim immediately!
ham,Am only searching for good dual sim mobile pa.
ham,Assignment due Friday. Course #280135. Submit via portal.
ham,Order #941543 shipped. Arrives Tuesday. Total: $700. Track online.
spam,Foreclosure #717480: Pay $32736 by Friday or property auctioned. Call now.
spam,Foreclosure #395810: Pay $33464 by Friday or property auctioned. Call now.
spam,Invoice #836905: Payment $67236 overdue 5 days. Pay immediately or legal action.
spam,Invoice #461966: Payment $64819 overdue 4 days. Pay immediately or legal action.
spam,Loan $63986 approved. 9.30% APR. App #938342. Processing $299.
spam,Invoice #921631: Payment $25052 overdue 3 days. Pay immediately or legal action.
ham,Please review report by Tuesday. Task #947735. Thanks!
spam,"Bitcoin investment #527927: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
ham,Please review report by Monday. Task #648622. Thanks!
ham,Please review report by Monday. Task #176239. Thanks!
ham,Please review report by Tuesday. Task #900560. Thanks!
ham,All day working day:)except saturday and sunday..
spam,WINNER #687378: Won $57815 in lottery. Claim immediately!
spam,Invoice #657841: Payment $3384 overdue 4 days. Pay immediately or legal action.
spam,Invoice #318160: Payment $44893 overdue 7 days. Pay immediately or legal action.
